2021-07-26 10:31:31,335 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 10:31:31,347 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 10:31:59,499 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:16:05,396 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:16:05,449 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 11:16:05,515 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$WN6AYEk4WNrOgiFjcwW8P.lah7UAe1jrk/9furOOkMcWyd5xsCyS2 -- ADMIN --  (UserService.java:65)
2021-07-26 11:17:26,330 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:17:26,384 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 11:17:26,445 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$1M2DLDL8KsnHLfoZHz926OjhHT5uNcoDc55sUcb9hw3kUpmDWIQzC -- ADMIN --  (UserService.java:65)
2021-07-26 11:17:40,374 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:22:55,556 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:39:16,069 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:42:36,049 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:44:09,056 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 11:47:22,466 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch getAllUser (UserService.java:43)
2021-07-26 12:02:51,908 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 12:02:51,969 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$nSouoW07elml3T8LqcwEIuwFkrFVzXFgVv5Eh.BUwhYLqnXgITDk6 -- ADMIN --  (UserService.java:65)
2021-07-26 12:03:59,741 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 12:03:59,810 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$j9SUQjgxkg3UigIyibXZiOkHp67D.FC1btTkYjhwEnVDkOWD/aiwO -- ADMIN --  (UserService.java:65)
2021-07-26 12:04:33,249 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 12:04:33,312 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$AiiB0pPTude9g7ivGqYwFeGUurXFNNUjK4Th//WayRGbs.8TKZv4y -- ADMIN --  (UserService.java:65)
2021-07-26 14:47:51,006 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | userNameOne (UserServiceTest.java:95)
2021-07-26 14:47:51,007 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 14:47:51,068 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$ypKYF2SSx1uuG/OSO8TaYOc4yXHq4Mdn/hJTL98BslwmGEt09OhPC -- ADMIN --  (UserService.java:65)
2021-07-26 14:49:37,921 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 14:49:37,986 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$/qQ5mR8BSOW9sb8mX.Ag6eV2vt1XQIyeTn2R1kzZf5WrXZl.QA1ZS -- ADMIN --  (UserService.java:65)
2021-07-26 14:49:37,990 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | userNameOne (UserService.java:68)
2021-07-26 14:50:03,702 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 14:50:03,764 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$QJkm2YdeLGoz6YGeBdagd.ntp5l6yAJsDzTT9LqfJV2NohWmG0oGW -- ADMIN --  (UserService.java:65)
2021-07-26 14:50:03,767 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 | 1 (UserService.java:68)
2021-07-26 14:57:57,806 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
2021-07-26 14:57:57,866 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser :fullNameFour -- userNameFour -- $2a$10$8eLiESmeL8LludVgakcZN.Va6rj7LIUS5Y.n2Op4X4VKtjQjZj2n2 -- ADMIN --  (UserService.java:65)
2021-07-26 14:58:42,704 - [main] INFO       | com.ly.p7.Poseidon.controller.UserController                 |  ---> Launch addlUser (UserService.java:61)
